ID	Declustering Potential (DP)	Collision Energy (CE)	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Molecular formula	Ionization model	Ret. Time (min)	Precursor ions (Q1)	Product ions (Q3)	Main fragments	Compound name	Identification level	Class	CV_all	CV_PIM	CV_CER	CV_BIG	H2
SlFM0234	30	10				C10H12ClNO2	H+	9.51	214.2	197	196.9, 179.0, 91.0, 107.0, 161.0	(+-)-Baclofen	putatively annotated	Others	0.67	0.69	0.73	0.64	0.59
SlFM0235	50	30						2.35	217.1	72	72.0, 69.8, 66.8, 68.1, 65.8				1.28	0.85	1.11	1.27	0.51
SlFM0236	40	20	217.0978	217.0972	2.9	C12H12N2O2	H+	6.57	217.2	144	144.0, 216.9, 117.0, 114.9, 143.0, 199.0	Lycoperodine	putatively annotated	Others	1.29	0.89	1.1	1.28	0.66
SlFM0240	50	30	218.21					7.8	218.1	200.2	200.3, 88.0, 106.0, 69.9				0.41	0.37	0.41	0.4	0.34
SlFM0241	20	30	219.0252					1.05	219.1	98.9	98.9, 91.0, 200.9, 145.0, 158.9				1.27	1.55	1.23	1.26	0.36
SlFM0243	40	50	219.1499	219.1492	3.24	C13H18N2O	H+	6.08	219	131	130.9, 103, 202, 102.2, 77.0, 76.4	N-p-Cinnamoylputrescine	putatively annotated	Polyamine	1.49	1.31	1.66	1.36	0.42
SlFM0244	40	30					H+	5.88	219	160	160.0, 144.0, 115.0, 201.9, 159.0, 117.0	Acetyl-serotonin	putatively annotated	Amino acid derivative	0.91	0.78	0.77	0.86	0.34
SlFM0245	-50	-20					H-	5.14	218.1	88	87.9, 146.0, 174.1, 143.9, 93.1 	D-Pantothenic Acid	putatively annotated	Vitamin	0.96	0.6	0.68	0.89	0.62
SlFM0246	30	50						6.04	220.1	104	104.0, 203.0, 131.9, 103.0, 130.9				1.49	1.39	1.7	1.35	0.43
SlFM0248	60	20	220.118	220.1179	0.23	C9H17NO5	H+	5.1	220.2	202.1	202.0, 174.0, 191.9, 84.0, 80.9	Pantothenic acid	standard	Vitamin	0.75	0.55	0.58	0.73	0.35
SlFM0249	20	30					H+	1.01	221	101	100.9, 82.9, 98.9, 142.9, 82.3, 160.9	Thidiazuron	putatively annotated	Others	1.47	1.94	1.57	1.32	0.32
SlFM0251	30	30					H+	2.5	221	158.1	130.0, 158.0, 131.9, 175.0, 103.0	8-Chlro-1-tetrahydronorharmanone	putatively annotated	Others	0.89	0.84	0.92	0.87	0.47
SlFM0252	40	30	221.0922				H+	4.86	221.1	158.4	130.0, 158.0, 175.0, 131.9, 157.0, 104.0	N-Hydroxy-L-tryptophan	putatively annotated	Amino acid derivative	0.67	0.54	0.64	0.68	0.52
SlFM0253	40	30						4.69	223.1	120	120.0, 208.9, 210.8, 103.0, 212.8, 190.9				1.14	0.78	0.98	1.12	0.78
SlFM0254	30	30					H+	15.1	223.2	149	208.9, 210.8, 192.9, 212.8, 190.9, 206.9	L(+)-Cystathionine	putatively annotated	Amino acid derivative	0.62	0.28	0.4	0.68	0.5
SlFM0255	50	20	225.0758	225.0757	0.22	C11H12O5	H+	6.05	225.1	147.1	147.1, 91, 105.0, 119.0, 210.8, 128.0	Sinapic acid	standard	Polyphenol	1.34	1.46	1.29	0.93	0.48
SlFM0256	40	50						7.12	227.1	91	91.0, 92.9, 104.9, 153.0, 167.0				0.7	0.58	0.61	0.69	0.66
SlFM0258	30	20						9.35	227.1	109	109.0, 123.0, 91.0, 151.0, 95.0, 105.0				0.84	0.76	0.99	0.79	0.92
SlFM0259	20	30				C9H13N3O4	H+	1.75	228.1	112.1	112.1	2'-Deoxycytidine	putatively annotated	Nucleic acid derivative	1.31	1.95	1.3	1.27	0.53
SlFM0263	-60	-20					H-	2.17	229	97	97	D-Ribulose-5-phosphate	putatively annotated	Saccharides	1.38	1.48	1.6	1.27	0.35
SlFM0265	30	20						6.21	232.1	196.1	196.1, 170.1, 214.0, 95.0, 81.0, 79.0				0.97	0.64	0.83	0.69	0.85
SlFM0267	30	20					H+	0.99	234	175	175	Cinnamoyl choline	putatively annotated	Vitamin derivative	1.07	1.34	1.19	0.96	0.24
SlFM0268	40	30	235.1441	235.1441	0.02	C13H18N2O2	H+	4.65	235.1	147.2	147.2, 91.0, 118.9, 217.9, 90.3	N-p-Coumaroylputrescine	putatively annotated	Polyamine	1.49	0.82	1.44	1.42	0.64
SlFM0269	40	40						1	235.1	174.8	174.9, 83.0, 100.9, 114.9, 85.0, 132.9				1.37	1.76	1.53	1.23	0.19
SlFM0271	50	30	238.1907					7.77	238.1	95	95.0, 112.0, 94.3, 106.0, 191.9				2.18	0.99	2	2.08	0.61
SlFM0274	60	30				C6H12N2O4S2	H+	2.4	241	196	84.0, 78.9, 98.8, 208.9	L-Cystine	standard	Amino acid	1	1.23	1.12	0.94	0.45
SlFM0275	60	20				C10H16N4O3	H+	4.73	241.3	223	222.9, 84.0, 78.9, 98.8, 208.9 	L-Homocarnosine	putatively annotated	Amino acid	0.96	0.68	0.88	0.98	0.75
SlFM0276	30	40						7.52	242.1	103	103.0, 94.0, 79.0, 76.9, 93.2				0.88	0.62	0.91	0.84	0.75
SlFM0277	40	30					H+	10.6	243	172	172.0, 197.9, 215.9, 170.0, 91.0 	Lumichrome	putatively annotated	Others	0.54	0.46	0.56	0.53	0.54
SlFM0278	40	60	244.0921	244.0928	2.87	C9H13N3O5	H+	1.65	244.1	111.7	111.7, 95.1, 94.3, 110.3, 108.6, 69.0	Cytidine	standard	Nucleic acid	1.01	1.48	1.04	0.95	0.5
SlFM0280	20	30	244.2626					11.5	244.1	163	163.0, 208.9, 93.0, 134.9, 107.0				1.23	0.74	1.12	1.26	0.77
SlFM0282	40	50						5.49	245.1	86.1	86.1, 84.0, 91.0, 85.3, 113.0				1.19	0.65	0.97	1.2	0.81
SlFM0284	40	40					H+	2.35	245.1	113	112.9, 95.9, 84.0, 112.1, 69.9, 95.0	Uridine	putatively annotated	Nucleic acid	1.27	1.1	1.23	1.19	0.49
SlFM0288	50	30	246.2413					9.66	246.1	228.1	228.1, 88.0, 106.0, 102.0, 69.9				0.35	0.3	0.35	0.34	0.26
SlFM0289	30	30						14.5	247.1	97	96.9, 91.0, 228.9, 187.0, 200.9				3.26	2.31	1.24	2.25	0.81
SlFM0290	60	20						10.8	247.1	187	187.0, 173.0, 171.0, 91.0, 159.0, 143.0				0.7	0.59	0.7	0.62	0.89
SlFM0293	-60	-30						5.46	246.1	200.2	200.2, 182.2, 132.1, 172.2, 170.1, 130.0 				1.13	0.76	0.69	1.18	0.69
SlFM0294	30	20						5.47	248.1	229.9	229.9, 134.0, 184.0, 156.0, 69.9				1.17	0.78	0.79	1.08	0.74
SlFM0295	50	20					H+	5.04	250.1	191.1	190.9, 160.9, 192.0, 84.0, 147.0	4-Coumaroylcholine 	putatively annotated	Vitamin derivative	1.41	1.83	1.47	1.36	0.55
SlFM0299	40	50	251.1395	251.139	2	C13H18N2O3	H+	4.49	251.1	163.2	163.2, 89.0, 135.0, 145.0, 116.9, 233.9	N-Caffeoylputrescine	putatively annotated	Polyamine	1.84	1.12	1.37	1.74	0.77
SlFM0300	30	30						5.1	251.1	188	233.9, 188.0, 120.0, 102.9, 170.0, 193.0				0.8	0.77	0.86	0.72	0.7
SlFM0301	10	50						8.99	252.1	91	90.9, 88.0, 90.2, 133.9, 115.9				1.53	0.66	2.3	0.92	0.52
SlFM0302	30	30					H+	7.9	252	105	105.0, 90.9, 103.0, 160.0, 162.0, 149.9	Muramic acid	putatively annotated	Others	0.92	0.84	1.12	0.86	0.62
SlFM0303	20	30						9.41	252.1	120	120.0, 103.0, 187.9, 205.9, 146.0, 91.0				1.7	2.05	1.89	1.59	0.5
SlFM0306	30	40					H+	4.54	252.1	136.1	159.9, 177.9, 164.0	2'-Deoxyadenosine monohydrate	putatively annotated	Nucleic acid derivative	0.73	0.78	0.69	0.71	0.62
SlFM0307	50	40	253.1542					2.36	253.1	123	122.9, 235.9, 165.0, 90.9, 68.9				2.57	1.96	1.42	2.39	0.45
SlFM0308	40	20	254.1861					4.66	254.1	94.9	94.9, 236.0, 112.0, 94.4, 111.3				1.39	0.89	1	1.33	0.89
SlFM0309	30	20						6.72	255.1	201.9	201.9, 84.0, 161.9, 130.0, 98.0				1.59	0.9	1.47	1.68	0.8
SlFM0310	40	60	256.0818	256.0816	0.99	C11H10O6	NH4+	1.79	256.2	124.1	124.1, 126.9, 84.0, 80.0, 129.9, 123.1	Nicotinate ribonucleoside	putatively annotated	Others	1.12	0.96	1.17	1.04	0.56
SlFM0311	40	30					H+	1.03	257.1	141.1	141.1	5-Ethyl-2'-deoxyuridine	putatively annotated	Nucleic acid derivative	0.88	0.97	0.98	0.79	0.06
SlFM0313	50	30						8.08	258.1	116	116.0, 69.9, 240.0, 117.0, 79.0				1.3	0.83	0.85	0.99	0.78
SlFM0314	30	40					H+	2.26	258.2	126.3	126.3, 108.9, 108.0, 81.0, 83.0, 125.1	5-Methylcytidine	putatively annotated	Nucleic acid derivative	1.08	1.57	1.01	1.03	0.3
SlFM0316	60	20						8.67	259.1	97.2	97.2, 68.9, 81.0, 96.2, 68.4, 91.0				2.17	1.81	2.12	1.88	0.8
SlFM0319	40	50						2.32	260.1	84	83.9, 83.0, 197.0, 196.0, 86.0				1.6	1.25	2.16	1.42	0.55
SlFM0322	50	40						6.15	261.1	84.1	84.0, 243.9, 86.0, 198.0, 130.0				0.95	0.54	1	0.91	0.77
SlFM0323	-40	-10					H-	2.03	259	97	97	D-Mannose-6-phosphate	putatively annotated	Saccharides	1.06	1.25	1.28	0.96	0.39
SlFM0324	40	30					H+	6.46	261	131	131.0, 103.0, 201.0, 202.0, 243.9	N-p-Cinnamoylagmatine	putatively annotated	Polyamine	1.11	0.72	0.85	1.16	0.48
SlFM0326	20	20						1.04	261.1	242.8	242.8, 224.9, 141.0, 182.9, 98.9, 200.9				1.35	1.5	1.29	1.2	0.22
SlFM0327	40	30						5.2	262.1	159	159.0, 216.0, 170.0, 144.0, 132.0, 116.9				1.27	0.71	1.11	1.22	0.81
SlFM0328	40	20	262.2377	262.2377	0.11	C14H31NO3	H+	8.07	262.3	200.3	200.3, 244.2, 102.0, 88.0, 69.9	2-Amino-1,3,4-tetradecanetriol	putatively annotated	Others	0.39	0.38	0.4	0.37	0.37
SlFM0329	-50	-30						5.5	260.1	214	214.1, 132.1, 198.1, 83.0, 144.1, 242.1 				1.34	0.84	0.81	1.16	0.65
SlFM0332	60	60						6.05	265.1	91	91.1, 159.1, 105.1, 157.1, 119.1, 161.1				0.57	0.59	0.56	0.48	0.53
SlFM0333	30	30						5.5	265.1	120	120.0, 166.0, 103.0, 72.0, 69.7, 68.8				1.16	0.67	0.93	1.18	0.8
SlFM0334	30	30	265.112	265.1118	0.91	C12H17N4OS	protonated	2.27	265.1	122.1	122.1, 144.0, 84.0, 81.0, 209.9, 246.9	Thiamin	standard	Vitamin	1.59	1.61	1.54	1.52	0.46
SlFM0335	40	20	265.1544					4.64	265.1	145	88.8, 176.9, 145.1, 117.0, 149.1, 247.9				1.44	1.6	1.01	1.36	0.6
SlFM0336	-50	-20					H-	10.9	263	153	219.1, 153.1, 204.1, 201.2, 203.2, 163.1 	ABA	putatively annotated	Phytohormone	0.74	0.66	0.73	0.65	0.79
SlFM0338	40	50	265.1547	265.1547	0.12	C14H20N2O3	H+	4.86	265.1	177.2	177.2, 88.8, 145.1, 117.0, 149.1, 247.9	N-Feruloylputrescine	putatively annotated	Polyamine	2.4	0.83	1.05	2.43	0.68
SlFM0341	40	20						4.44	266.1	122.9	122.9, 221.9, 178.0, 112.1, 177.0, 146.0				1.14	1.09	1.05	1.12	0.16
SlFM0342	40	30	266.1235					1.55	266.1	182	247.9, 230.0, 182.1, 98.0, 194.1, 87.0				1.33	1.65	1.53	1.16	0.48
SlFM0344	50	30	268.104	268.104	0.26	C10H13N5O4	H+	3.27	268.1	136.1	136.0, 152.0, 118.9, 135.1, 249.9	Adenosine	standard	Nucleic acid derivative	0.97	0.74	1.07	0.94	0.46
SlFM0345	50	30						7.2	269.1	125	250.9, 136.0, 176.9, 94.7, 222.9				1.02	0.76	1	1.03	0.63
SlFM0346	20	30					H+	2.3	269.1	135.9	110.0, 136.1, 118.9, 94.0	Homocystine	standard	Amino acid derivative	1.39	1.19	1.29	1.41	0.54
SlFM0348	50	10						4.53	269.1	137	136.9, 177.0, 136.0, 154.0, 191.0, 199.9				0.76	0.94	0.8	0.66	0.62
SlFM0349	40	40					H+	3.42	269.1	137	137.0, 110.0, 136.1, 118.9, 94.0	Inosine	standard	Others	1.87	1.42	1.74	1.64	0.5
SlFM0350	50	60						7.92	270.1	91	91.0, 131.0, 159.0, 158.0, 141.0				1.08	1.32	0.97	1.06	0.87
SlFM0351	30	20						3.2	270.1	136	136.0, 137.0, 138.0, 119.0, 135.1				1.99	1.99	1.51	1.95	0.43
SlFM0352	40	40						1.79	272.1	110	154.9, 96.9, 110.0, 164.9, 152.9, 136.9				0.97	1.15	1.06	0.91	0.52
SlFM0355	-40	-30						9.2	271.1	151.1	151.1, 119.0, 107.1, 177.1, 93.0, 145.0 				2.13	1.49	1.36	1.94	0.88
SlFM0357	40	20						9.15	273.1	152.9	152.9, 170.0, 91.0, 146.9, 159.0				3.63	4.24	2.35	2.5	0.6
SlFM0358	50	30	273.075					8.23	273.1	153	152.9, 106.9, 147.0, 91.0, 118.9				1.3	0.96	1.02	1.14	0.81
SlFM0359	50	10						10.6	273.1	153	152.9, 147.0, 91.0, 152.0, 106.9				3.69	1.91	2.51	2.31	0.71
SlFM0360	50	10	273.0754	273.0758	1.28	C15H12O5	H+	11.6	273.1	153	152.6, 147.2, 91.0, 119.0, 146.4	Naringenin	putatively annotated	Flavonoid	1.18	1.39	1.2	1.05	0.96
SlFM0363	40	20						5.5	274.1	212	212.1, 256.0, 238.0, 91.0, 79.0				1.17	0.79	0.98	0.77	0.85
SlFM0364	40	30	274.2727					11.2	274.1	256.2	209.3, 210.6, 88.0, 258.0, 69.7				0.31	0.24	0.31	0.3	0.18
SlFM0365	30	30						8.09	276.1	212	212.0, 257.9, 91.0, 229.9, 194.9, 96.9				1.12	0.71	1.22	1.06	0.82
SlFM0368	40	40	276.1432					2.43	276.1	230	230.0, 257.9, 86.0, 212.0, 132.0				0.96	1.14	1.13	0.88	0.65
SlFM0369	40	20						7.24	276.1	257.9	257.9, 212.0, 171.9, 134.0, 98.9				1.01	0.74	0.7	1.09	0.78
SlFM0370	50	20	276.216					5.28	276.1	258	258.0, 196.1, 222.0, 240.0, 94.9				0.92	0.7	0.83	0.68	0.71
SlFM0371	20	40				C11H20N2O6	H+	1.91	277.1	84.1	84.1, 129.9, 83.3, 148.0, 167.9, 259.8	Saccharopine	standard	Amino acid derivative	1.1	1.03	1.32	1	0.56
SlFM0372	40	30						2.9	277.1	115	114.9, 86.9, 85.0, 96.9, 212.8, 83.9				2.94	3.18	3.47	2.75	0.47
SlFM0373	30	40				C14H20N4O2	H+	5.14	277.1	147.2	147.2, 119.0, 216.9, 91.0, 259.9	N-p-Coumaroylagmatine	putatively annotated	Polyamine	1.83	1.24	1.96	1.83	0.56
SlFM0375	40	30						2.9	278	115	114.9, 86, 115.9, 98.9, 84.0				2.9	3.1	3.38	2.73	0.5
SlFM0376	50	20	278.1768					10.4	278.1	232	232.0, 214.0, 119.0, 120.0, 118.0, 103.0				1.03	0.69	1.1	1.03	0.83
SlFM0377	40	40	279.1705	279.1703	0.65	C15H22N2O3	H+	6.98	279.1	86.1	86.1, 120, 166.0, 149.0, 103.0	4beta-Hydroxy-11-O-(2'-pyrolylcarboxy)epilupinine	putatively annotated	Alkaloid	0.86	0.7	0.89	0.83	0.79
SlFM0378	40	60	279.2319	279.2319	0.16	C18H30O2	H+	18.5	279.3	95.1	95.1, 81.1, 79.1, 76.9, 80.5, 93.1	Punicic acid	putatively annotated	Fatty acid	0.77	0.57	0.77	0.78	0.6
SlFM0379	40	30						1.1	279.1	99	98.9, 158.9, 148.9, 98.1, 190.9, 144.9				1.65	2.27	1.8	1.54	0.45
SlFM0382	40	30					H+	4.81	279	177	148.9, 216.9, 98.9, 177.0, 200.9	N- Feruloylcadaverine	putatively annotated	Polyamine	1.19	1.85	0.86	1.16	0.52
SlFM0383	40	40						6.5	280.1	86	86.0, 121.0, 87.0, 69.0, 120.0				1.1	0.75	0.91	1.1	0.79
SlFM0385	60	30						5.75	281.1	136	136.0, 161.9, 118.9, 120.0, 266.8				0.53	0.71	0.4	0.5	0.47
SlFM0386	60	20				C10H12N6O4	H+	5.75	281.1	162.2	162.2, 136.0, 118.9, 120.0, 266.8	N-(9H-Purin-6-ylcarbamoyl)threonine	putatively annotated	Nucleic acid derivative	0.46	0.57	0.42	0.44	0.51
SlFM0387	10	30						7.09	282.1	85	84.9, 96.9, 80.9, 68.9, 108.9, 126.9				1.15	1.48	1.24	1.01	0.74
SlFM0388	50	20					H+	4.95	282.2	136.2	120.0, 93.9, 149.1, 84.0	2'-O-methyladenosine	putatively annotated	Nucleic acid derivative	0.75	0.72	0.68	0.72	0.59
SlFM0389	40	30	282.1117					8.46	282.1	147	147.0, 118.9, 91.0, 267.8, 161.9				1.95	1.36	2.09	1.9	0.72
SlFM0391	40	50					H+	1.61	282.2	150.2	150.0, 245.9, 263.9, 154.9, 198.0	1-Methyladenosine	putatively annotated	Nucleic acid derivative	1.09	1.24	1.07	1.01	0.55
SlFM0392	60	30					H+	5.2	282.1	150.3	150.0, 281.8, 120.0, 93.9, 149.1, 84.0	2-Methyladenosine	putatively annotated	Nucleic acid derivative	0.74	0.67	0.68	0.68	0.56
SlFM0395	20	50	284.1971					5.16	284.1	87.9	87.9, 121.9, 86.4, 85.0, 151.9, 96.9				1.02	0.77	0.95	1.05	0.73
SlFM0396	20	30						8.5	284.1	114	114.0, 209.1, 115.0, 96.0, 210.0, 228.0				0.55	0.41	0.52	0.54	0.32
SlFM0397	40	40				C17H17NO3	H+	10.2	284	147	146.9, 121.0, 90.9, 118.9, 93.0	N-Coumaroyltyramine	putatively annotated	Amino acid derivative	1.3	1.03	1.54	1.22	0.86
SlFM0399	20	60					H+	3.29	284	152.2	152.2, 134.9, 110.0, 150.7, 136.3, 141.7	Guanosine	standard	Nucleic acid	1.43	1.49	1.48	1.36	0.42
SlFM0402	40	30	285.1016					2.4	285.1	153	153.0, 151.9, 135.9, 134.9, 110.9, 109.9				2.62	3.2	3.3	2.39	0.51
SlFM0403	40	30					H+	3.29	285	153	152.9, 135.9, 266.9, 106.0, 109.9, 152.0	Xanthosine	standard	Nucleic acid	1.4	1.28	1.47	1.33	0.43
SlFM0404	40	30					H+	4.73	286	124	123.9, 249.8, 106.0, 80.0, 267.9	Nicotinic acid-hexoside	putatively annotated	Polyphenol	2.06	1.68	1.8	1.32	0.73
SlFM0405	40	30						9.04	286.1	151	151.0, 165.0, 165.9, 181.0, 91.0, 196.9				0.94	0.74	1.02	0.82	0.89
SlFM0406	50	20						8.03	286.1	181	181.0, 151.0, 91.0, 165.0, 110.9, 164.0				1.07	0.93	0.99	0.95	0.84
SlFM0411	20	30						7.7	290.1	144	144.0, 143.0, 116.9, 272.8, 226.9, 83.9				0.93	0.94	1.06	0.74	0.76
SlFM0412	40	20					H+	9.81	290.2	228.4	228.2, 102.0, 88.0, 272.2, 69.9	16-Hydroxy-hexadecanoic acid	putatively annotated	Fatty acid	0.32	0.26	0.33	0.31	0.28
SlFM0415	40	40	291.0911					5.27	291.1	129	129				1.01	0.79	0.85	1.06	0.68
SlFM0416	10	50					H+	9.86	291.3	129.8	129.8, 159.0, 185.0, 226.9, 170.0, 244.9	IAA-Asp	putatively annotated	Phytohormone	1.85	2.11	1.82	1.83	0.51
SlFM0417	30	30						7.7	291.1	145	145.0, 144.0, 143.1, 117.0, 83.8, 118.0				0.92	1.09	1.05	0.73	0.71
SlFM0418	20	30						9.85	291.1	159.1	229.1, 272.9, 244.9, 91.0, 159.0 				1.87	2.13	1.86	1.84	0.5
SlFM0421	40	30	291.0857	291.0863	2.12	C15H14O6	H+	13.3	291.1	273	243.1, 91.0, 109.0, 88.0, 272.9 	Catechin	standard	Flavonoid	0.78	0.69	0.9	0.67	0.38
SlFM0422	10	30						9.84	292.1	160	160.0, 186.0, 227.9, 245.9, 185.0, 130.9				1.72	1.86	1.72	1.69	0.58
SlFM0424	40	60	293.1507					5.55	293.1	147	146.9, 119.0, 91.0, 90.3, 84.1, 146.1				1.27	0.73	1.13	1.33	0.88
SlFM0425	50	30					H+	4.76	293	163	162.9, 134.9, 145.0, 89.0, 116.9	N-Caffeoylagmatine	putatively annotated	Polyamine	1.85	1.31	1.27	1.94	0.64
SlFM0427	40	50	294.1555					2.45	294.1	229.9	229.9, 258.0, 275.9, 212.2, 112.0, 98.1				1.04	1.38	1.09	0.95	0.63
SlFM0429	40	30	295.2264	295.2268	1.26	C18H30O3	H+	18.9	295.2	179.2	179.1, 91.1, 93.1, 95.1, 79.1, 277	9-Hydroxy-(10E,12Z,15Z)-octadecatrienoic acid	putatively annotated	Fatty acid	0.83	0.67	0.74	0.89	0.77
SlFM0430	40	30	295.1646	295.1652	2.13	C15H22N2O4	H+	4.99	295.1	207	206.9, 175.0, 147.0, 91.0, 208.8, 118.9	N-Sinapoylputrescine	putatively annotated	Polyamine	0.81	0.85	0.68	0.82	0.53
SlFM0434	-10	-10						8.65	295.1	133.1	133.0, 179.0, 115.0, 135.1, 197.0, 235.0 				1.69	2.08	1.79	1.58	0.4
SlFM0436	50	10	298.0961	298.0968	2.48	C11H15N5O3S	H+	6.28	298.1	136.1	135.7, 119.1, 132.6, 134.1, 97.1	5'-Deoxy-5'-(methylthio)adenosine	putatively annotated	Nucleic acid derivative	0.57	0.56	0.56	0.55	0.68
SlFM0437	40	30						6.28	298.1	137	137				0.66	0.62	0.66	0.62	0.54
SlFM0438	20	20	298.1147				H+	4.66	298.2	152.1	152.0, 166.0, 149.0, 135.0, 281.8, 110.0 	2'-O-methylguanosine	putatively annotated	Nucleic acid derivative	0.7	0.66	0.62	0.66	0.59
SlFM0441	40	50	298.1142				H+	4.6	298.2	166.3	166.3, 149.0, 152.0, 134.9, 281.8, 110.0	N2-Methylguanosine	putatively annotated	Nucleic acid	1.06	0.87	0.92	1.05	0.6
SlFM0443	50	10	299.0984				H+	6.28	299	136	136	MNA-hexoside	putatively annotated	Others	0.67	0.62	0.62	0.65	0.64
SlFM0444	50	10						6.28	299.1	137	136.9, 282.8, 210.9, 268.8, 266.8, 196.0 				0.63	0.57	0.61	0.62	0.65
SlFM0445	20	30						5.07	300.1	119.9	119.9, 197.9, 132.0, 92.0, 170.0				2.8	1.36	2.24	2.94	0.84
SlFM0449	30	20						7.41	301.1	211.9	211.9, 193.9, 166.0, 160.0, 125.9, 180.0				3.39	1.37	2.87	3.36	0.86
SlFM0452	20	30						8.14	303.1	85	85				1.05	1.09	1.24	0.97	0.54
SlFM0453	10	40						16.6	303.1	87.8	87.8				3.63	3.06	2.98	4.02	0.61
SlFM0454	30	50						10.1	303.1	91	91.0, 105.0, 149.0, 119.0, 131.0				1.41	1.21	2.2	1.1	0.67
SlFM0459	60	30	303.0863	303.0863	0.03	C16H14O6	H+	9.34	303.1	153	152.9, 155.0, 228.9, 105.0, 200.9	Hesperetin	putatively annotated	Flavonoid	1.35	1.04	1.09	1.53	0.95
SlFM0461	-40	-40						1.06	301.1	159	159.0, 201.1, 259.0, 116.9, 140.9 				0.88	1.06	0.92	0.77	0.11
SlFM0464	40	20						1.03	303.1	242.8	242.8, 224.8, 140.9, 98.9, 182.9, 200.8 				1.03	1.08	0.94	0.97	0.2
SlFM0465	30	40						9.99	304.1	106	106.0, 120.0, 91.0, 105.0, 92.0, 119.0				1.43	0.68	2.1	1.15	0.72
SlFM0466	30	30						7.91	304.1	181	180.9, 110.9, 91.0, 96.9, 150.9, 200.9				1.2	0.6	1.43	1.05	0.87
SlFM0467	50	20						6.91	304.1	285.9	285.9, 240.0, 224.1, 268.0, 95.0				0.81	0.76	0.77	0.74	0.73
SlFM0468	10	40	305.1565					16.6	305.1	87.9	87.9				3.67	3.14	3.02	4.05	0.6
SlFM0470	20	40					H+	1.04	305.1	183.2	244.8, 226.8, 200.9, 182.9, 140.9, 142.9 	IAA-Glu	putatively annotated	Phytohormone	1.4	1.47	1.45	1.23	0.19
SlFM0473	60	20						6.94	305.1	287	287.0, 225.1, 251.0, 269.0, 227.0				0.8	0.8	0.76	0.69	0.77
SlFM0476	40	20	307.1765	307.1765	0.1	C15H22N4O3	H+	5.45	307.1	177.2	177.2, 144.3, 89.0, 117.0, 145.1	N-Feruloylagmatine	putatively annotated	Polyamine	1.59	0.81	1.15	1.82	0.63
SlFM0477	50	20	308.1518					16.4	308.1	70	69.7, 124.9, 151, 65.1, 68.4				0.94	0.92	0.91	0.9	0.85
SlFM0484	40	30						16.4	310.1	70	69.9, 126.9, 152.9, 116.0, 68.4, 167.0				0.93	0.92	0.91	0.9	0.85
SlFM0485	40	20						4.77	310.1	119.9	120.0, 166.0, 103.0, 291.8, 189.9, 187.9 				0.71	0.66	0.81	0.64	0.69
SlFM0487	50	30						10.4	310.1	135	135.0, 107.0, 91.0, 180.1, 93.0				0.77	0.58	0.79	0.74	0.88
SlFM0488	30	30				C14H15N1O7	H+	4.95	310	163	163.9, 162.9, 84.0, 112.9, 135.9, 130.0 	(-)-N-[3',4'-Dihydroxy-(E)-cinnamoyl]-L-glutamic acid	putatively annotated	Amino acid derivative	1.61	0.91	0.98	2.04	0.88
SlFM0489	40	40	310.1134	310.1133	0.46	C11H19NO9	H+	1.79	310.1	292.3	292.3	N-Acetylneuraminic acid	putatively annotated	Others	1.1	1.14	1.22	1.04	0.56
SlFM0493	40	40	312.1125					8.76	312.1	177	176.9, 145.0, 89.0, 116.9, 149.0, 221.9				0.9	0.8	0.86	0.86	0.72
SlFM0495	40	60	312.1305	312.1302	0.82	C12H17N5O5	H+	5.05	312.1	180.2	180.2, 110.0, 135.0, 180.3, 137.0, 162.2	N2, N2-Dimethylguanosine	putatively annotated	Nucleic acid derivative	0.7	0.66	0.61	0.65	0.57
SlFM0496	40	30						2.26	312.1	275.8	221.9, 293.8, 227.9, 84.0, 275.9, 135.9 				1.34	1.74	1.4	1.23	0.58
SlFM0497	60	30	313.1545					7.24	313.1	120	120.0, 103.0, 209.9, 119.2, 93.0, 222.9				0.99	0.68	0.86	1	0.85
SlFM0498	-50	-20						8.82	311.1	149	149.0, 179.0, 131.0, 267.1, 275.1, 161.0 				0.69	1.37	0.75	0.6	0.68
SlFM0499	50	20						2.26	313.1	276.8	276.8				1.26	1.62	1.3	1.17	0.56
SlFM0500	40	30						13.9	313.1	277	277.0, 295.0, 91.0, 93.0, 163.1, 141.1				0.97	0.88	0.82	0.99	0.83
SlFM0501	40	30	314.0902					2.6	314.1	136	136.0, 295.8, 121.0, 96.9, 277.9				2.88	3.41	3.39	2.6	0.53
SlFM0502	40	50	314.1384	314.1387	0.91	C18H19NO4	H+	10.4	314.1	177.1	177.0, 145.0, 70.3, 121.0, 149.0 	N-Feruloyltyramine	putatively annotated	Amino acid derivative	1.44	0.74	0.95	1.43	0.82
SlFM0503	40	40						8.12	314.1	177.1	177.0, 145.0, 89.0, 121.0, 91.0, 116.9 				1.36	0.67	1.18	1.25	0.73
SlFM0505	40	30	315.0951					2.5	315.1	137	137.0, 122.9, 136.0, 96.9, 80.0				2.91	3.43	3.36	2.61	0.57
SlFM0506	20	20	316.2203					6.46	316.1	157	157.0, 86.0, 315.9, 69.0, 283.9, 203.0				1.38	1.22	1.49	1.31	0.58
