Gene ID	Module	MM	Locus Name	TF Family	TF Name	Functional Annotation
GRMZM2G124863	4	0.961625102	--	--	--	Uncharacterized protein
AC215690.3_FG002	4	0.961408171	--	--	--	Acyl-[acyl-carrier-protein] desaturase
GRMZM5G857250	4	0.961364894	--	--	--	Uncharacterized protein
GRMZM2G156620	4	0.96120118	--	--	--	3-ketoacyl-CoA synthase
GRMZM2G170520	4	0.961101193	--	C2H2	--	-
GRMZM2G027173	4	0.961017414	--	--	--	ELMO domain-containing protein 2; Uncharacterized protein
GRMZM2G333039	4	0.960598227	--	--	--	-
GRMZM2G169763	4	0.960527698	--	--	--	-
GRMZM2G003738	4	0.960374585	--	--	--	Cell-linked locus protein; Long cell-linked locus protein
GRMZM2G587004	4	0.960342026	--	--	--	-
GRMZM2G173641	4	0.959849814	--	--	--	Uncharacterized protein
GRMZM5G858914	4	0.959661745	--	--	--	Uncharacterized protein
GRMZM2G079381	4	0.959585476	NIR	--	--	Ferredoxin-nitrite reductase, chloroplastic
GRMZM2G163154	4	0.959565926	--	--	--	Uncharacterized protein
GRMZM2G562670	4	0.959534869	--	--	--	Uncharacterized protein
GRMZM2G015610	4	0.959460859	--	Orphans	ZmOrphan152	Uncharacterized protein
GRMZM2G057635	4	0.959453819	--	--	--	-
GRMZM5G856297	4	0.959381965	--	--	--	Uncharacterized protein
GRMZM2G049606	4	0.959296422	--	--	--	Uncharacterized protein
GRMZM2G019651	4	0.959290777	--	--	--	-
GRMZM5G821139	4	0.959233546	--	--	--	Uncharacterized protein
GRMZM2G114707	4	0.959203031	--	--	--	Holliday junction resolvase
GRMZM2G400714	4	0.959182679	--	C2H2	--	Uncharacterized protein
GRMZM2G145825	4	0.959094411	--	--	--	-
GRMZM2G404608	4	0.958855154	9C20.6B	--	--	Putative uncharacterized protein 9C20.6b; Uncharacterized protein
GRMZM2G312585	4	0.958714023	--	--	--	-
GRMZM2G034623	4	0.958619	--	--	--	Uncharacterized protein
GRMZM2G025459	4	0.957512198	--	--	--	SNF1 protein kinase regulatory subunit beta-1; Uncharacterized protein
GRMZM2G083741	4	0.957500758	--	--	--	-
GRMZM5G879570	4	0.957481822	--	--	--	Uncharacterized protein
GRMZM2G125320	4	0.957453712	--	--	--	Uncharacterized protein
GRMZM2G133021	4	0.957356297	--	--	--	Uncharacterized protein
GRMZM2G127015	4	0.957355431	--	--	--	Uncharacterized protein
GRMZM2G041714	4	0.95694289	--	--	--	Uncharacterized protein
GRMZM2G174671	4	0.956850705	--	--	--	Uncharacterized protein
GRMZM2G140901	4	0.956720365	--	NAC	ZmNAC51	Putative NAC domain transcription factor superfamily protein
GRMZM2G314110	4	0.956680623	--	--	--	-
GRMZM2G320269	4	0.956651964	--	--	--	Uncharacterized protein
AC193630.3_FG003	4	0.956534779	--	WRKY	ZmWRKY39	Putative WRKY DNA-binding domain superfamily protein
GRMZM2G099481	4	0.956279812	--	--	--	Uncharacterized protein
GRMZM2G043109	4	0.955897251	--	--	--	-
AC225718.2_FG009	4	0.955795165	--	--	--	Putative uncharacterized protein
GRMZM2G405486	4	0.955742709	--	--	--	-
GRMZM2G008468	4	0.955618787	--	--	--	Golgi transport 1 protein B
GRMZM2G093272	4	0.955333014	--	--	--	USP family protein; Uncharacterized protein
GRMZM2G375015	4	0.955297226	--	--	--	Uncharacterized protein
GRMZM2G456217	4	0.955289569	--	--	--	Vignain
GRMZM2G359521	4	0.955191167	--	--	--	-
GRMZM2G163717	4	0.954503378	--	--	--	Uncharacterized protein
GRMZM2G007206	4	0.954353432	--	--	--	Uncharacterized protein
GRMZM2G445634	4	0.954267006	--	ZIM	ZmZIM16	ZIM motif family protein
AC193359.3_FG004	4	0.954098177	--	--	--	-
GRMZM2G038487	4	0.954042625	--	--	--	Chlorophyllide a oxygenase; Uncharacterized protein
AC205314.3_FG011	4	0.95401514	--	--	--	-
GRMZM2G326854	4	0.953991557	--	--	--	-
GRMZM2G048919	4	0.953928974	--	--	--	Uncharacterized protein
GRMZM2G332390	4	0.953684767	--	--	--	SAUR16-auxin-responsive SAUR family member
GRMZM5G844197	4	0.953643782	--	--	--	-
GRMZM2G585953	4	0.953051178	--	--	--	-
GRMZM2G111300	4	0.952832457	ZIP4	--	--	Uncharacterized protein
GRMZM2G009901	4	0.952618608	--	--	--	Uncharacterized protein
GRMZM2G330019	4	0.952288697	--	--	--	Uncharacterized protein
GRMZM2G134340	4	0.952274168	--	--	--	Uncharacterized protein
GRMZM2G438195	4	0.951972557	--	--	--	-
GRMZM2G321041	4	0.951829252	--	--	--	Uncharacterized protein
GRMZM2G399778	4	0.951713305	--	--	--	-
GRMZM2G381091	4	0.951688935	--	--	--	-
GRMZM2G451792	4	0.951562779	--	--	--	Uncharacterized protein
GRMZM2G007354	4	0.951526654	--	--	--	-
GRMZM5G886476	4	0.951299563	--	--	--	-
GRMZM2G086714	4	0.951258274	--	--	--	-
GRMZM2G346263	4	0.951189287	--	--	--	-
AC199363.4_FG003	4	0.950774191	--	--	--	Uncharacterized protein
GRMZM2G031022	4	0.950606404	--	--	--	Uncharacterized protein
GRMZM2G061075	4	0.950508816	--	--	--	-
GRMZM2G132185	4	0.950161805	--	AP2-EREBP	ZmEREB83	Putative AP2/EREBP transcription factor superfamily protein
GRMZM2G157384	4	0.950128298	--	--	--	Uncharacterized protein
GRMZM2G077387	4	0.950003773	--	--	--	-
GRMZM2G549123	4	0.94987819	--	--	--	-
GRMZM2G516965	4	0.949720988	--	--	--	-
GRMZM2G062449	4	0.949466523	--	--	--	-
GRMZM2G060483	4	0.949255573	--	--	--	-
AC200852.4_FG010	4	0.94923357	--	--	--	-
GRMZM2G136081	4	0.949109324	--	--	--	Plant-specific domain TIGR01615 family protein
GRMZM2G427692	4	0.949090391	--	--	--	Putative uncharacterized protein
GRMZM2G080549	4	0.948927887	--	--	--	Proteasome subunit alpha type 6
GRMZM2G051932	4	0.948528371	--	--	--	-
GRMZM5G825909	4	0.94847587	--	--	--	Uncharacterized protein
GRMZM2G088235	4	0.948401831	--	--	--	Uncharacterized protein
AC213618.3_FG005	4	0.948114655	--	--	--	-
AC210816.3_FG006	4	0.947616916	--	--	--	Putative uncharacterized protein
GRMZM2G153833	4	0.947613208	--	--	--	-
GRMZM2G358416	4	0.947486442	--	--	--	Uncharacterized protein
GRMZM2G118344	4	0.947483592	--	--	--	Putative RING zinc finger domain superfamily protein; Uncharacterized protein
GRMZM2G170489	4	0.947297038	--	--	--	Putative uncharacterized protein
GRMZM5G821692	4	0.947152646	--	--	--	-
GRMZM2G429807	4	0.94634596	--	--	--	Uncharacterized protein
GRMZM2G061906	4	0.94629801	--	bHLH 	ZmbHLH118	Putative HLH DNA-binding domain superfamily protein; Uncharacterized protein
GRMZM2G352912	4	0.946148832	--	--	--	-
GRMZM2G140998	4	0.94605583	--	--	--	Uncharacterized protein
AC212737.3_FG011	4	0.946022588	--	--	--	-
GRMZM2G106413	4	0.945493968	--	--	--	Wound induced protein
GRMZM5G806335	4	0.944838411	--	--	--	Uncharacterized protein
GRMZM2G119219	4	0.944607783	--	--	--	Uncharacterized protein
GRMZM2G115131	4	0.944422297	--	--	--	-
GRMZM2G110027	4	0.944209589	--	--	--	Uncharacterized protein
GRMZM2G014826	4	0.94414811	--	--	--	Senescence-associated protein 5; Uncharacterized protein
GRMZM2G515808	4	0.943833354	--	--	--	-
GRMZM2G163560	4	0.943665385	--	--	--	-
GRMZM5G874698	4	0.943529271	--	--	--	-
GRMZM2G045592	4	0.943520723	--	--	--	-
GRMZM2G081943	4	0.943291551	--	--	--	Uncharacterized protein
GRMZM5G859049	4	0.943187857	--	--	--	Uncharacterized protein
GRMZM2G098298	4	0.94305043	CCP1	--	--	Cysteine proteinase 1
GRMZM2G139535	4	0.942963265	--	HSF	ZmHSF21	Heat shock factor protein 4
GRMZM2G014975	4	0.942770412	--	--	--	Autophagy 8e, mRNA
GRMZM2G336448	4	0.942698388	--	--	--	Carbohydrate transporter/ sugar porter/ transporter; Uncharacterized protein
GRMZM2G109869	4	0.942650439	--	GRAS	ZmGRAS52	-
GRMZM2G046101	4	0.942557411	--	--	--	Glucan endo-1,3-beta-glucosidase 7
GRMZM2G460594	4	0.942341126	--	Orphans	ZmOrphan114	-
GRMZM2G078320	4	0.942305724	--	--	--	Putative uncharacterized protein
GRMZM2G158045	4	0.942111085	--	--	--	Uncharacterized protein
GRMZM2G174739	4	0.941917935	--	--	--	Putative inositol polyphosphate phosphatase (Synaptogenin-like) family protein
GRMZM2G057140	4	0.941867894	--	--	--	-
GRMZM2G148056	4	0.941827453	--	Orphans	ZmOrphan120	Two-component response regulator ARR3
GRMZM2G300500	4	0.941385739	--	--	--	Uncharacterized protein
GRMZM2G414373	4	0.940983126	--	--	--	PB1 domain containing protein
GRMZM2G580993	4	0.940900274	--	--	--	-
GRMZM2G114192	4	0.940252796	--	--	--	Uncharacterized protein
GRMZM2G015159	4	0.94018584	--	--	--	Ras-related protein RHN1; Uncharacterized protein
GRMZM2G147446	4	0.939711967	--	--	--	Integral membrane protein like; Uncharacterized protein
GRMZM2G079263	4	0.939582649	--	--	--	Polygalacturonase; Uncharacterized protein
GRMZM2G451769	4	0.939481447	--	--	--	Uncharacterized protein
GRMZM2G041015	4	0.939422349	--	--	--	Uncharacterized protein
GRMZM2G130927	4	0.93922812	--	--	--	Uncharacterized protein
GRMZM2G177561	4	0.9388321	--	--	--	-
GRMZM2G347226	4	0.93877298	--	--	--	Putative calcium-dependent protein kinase family protein
GRMZM2G062391	4	0.938529508	--	bZIP 	ZmbZIP98	Uncharacterized protein
GRMZM2G180452	4	0.938175879	--	bHLH 	ZmbHLH3	Uncharacterized protein
GRMZM2G004575	4	0.93816199	--	--	--	-
GRMZM2G157219	4	0.937960451	--	Trihelix	ZmTHX1	6b-interacting protein 1; 6b-interacting protein 1 isoform 1; 6b-interacting protein 1 isoform 2; Trihelix transcription factor; Uncharacterized protein
GRMZM2G167207	4	0.937549476	--	--	--	BSD domain containing protein; Uncharacterized protein
GRMZM2G116876	4	0.937383075	--	--	--	-
GRMZM2G149201	4	0.937288109	--	--	--	Leucine-rich repeat (LRR) family protein; Uncharacterized protein
GRMZM2G171097	4	0.93720898	--	--	--	Uncharacterized protein
GRMZM2G095104	4	0.935871581	--	--	--	Uncharacterized protein
GRMZM2G141084	4	0.935766777	--	--	--	Putative RING zinc finger domain superfamily protein; Uncharacterized protein
GRMZM2G092718	4	0.935684823	--	--	--	Uncharacterized protein
GRMZM2G083894	4	0.935673521	--	--	--	AN15
GRMZM2G568168	4	0.935131483	--	--	--	-
GRMZM2G028492	4	0.935094913	--	C3H	--	Uncharacterized protein; Zinc finger C-x8-C-x5-C-x3-H type family protein
GRMZM2G021796	4	0.935017801	--	--	--	Putative RING zinc finger domain superfamily protein; Uncharacterized protein
GRMZM5G856323	4	0.93488329	--	--	--	-
GRMZM2G035268	4	0.934762487	GPN1	--	--	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
GRMZM2G025646	4	0.934667612	ELF4	--	--	ELF4-like protein; Uncharacterized protein
AC199223.3_FG002	4	0.934563849	--	--	--	-
GRMZM2G130432	4	0.934363105	--	--	--	Uncharacterized protein
GRMZM5G892752	4	0.934291037	--	--	--	-
GRMZM2G125652	4	0.934287459	--	--	--	-
GRMZM2G413525	4	0.934111218	--	--	--	-
GRMZM5G836353	4	0.933273762	--	--	--	Uncharacterized protein
GRMZM2G319947	4	0.933104844	--	--	--	-
GRMZM2G174347	4	0.93306575	--	AP2-EREBP	ZmEREB92	Ethylene-responsive transcription factor 4; Putative AP2/EREBP transcription factor superfamily protein
GRMZM2G104760	4	0.933011889	--	--	--	Uncharacterized protein
GRMZM2G163476	4	0.932901311	--	--	--	Uncharacterized protein
GRMZM2G023899	4	0.93278296	--	--	--	Uncharacterized protein
GRMZM5G892467	4	0.932556271	--	--	--	Uncharacterized protein
GRMZM2G055992	4	0.932545703	--	--	--	Putative uncharacterized protein
GRMZM2G127386	4	0.932541825	--	--	--	Nitrilase-associated protein
GRMZM2G012306	4	0.932526521	--	--	--	Peptide transporter PTR2; Uncharacterized protein
GRMZM5G869916	4	0.932442217	--	--	--	Uncharacterized protein
GRMZM2G445423	4	0.932393924	--	--	--	Uncharacterized protein
GRMZM2G058130	4	0.932228851	--	--	--	-
GRMZM2G303915	4	0.932204774	--	--	--	Uncharacterized protein
GRMZM2G075657	4	0.932094021	--	--	--	-
GRMZM2G040559	4	0.932058044	--	--	--	Tubulin alpha-6 chain
GRMZM2G148211	4	0.931946605	--	--	--	Uncharacterized protein
GRMZM5G868355	4	0.931857061	--	GRAS	ZmGRAS26	Uncharacterized protein
GRMZM2G458824	4	0.931819252	--	--	--	Uncharacterized protein
GRMZM2G047961	4	0.931771555	--	--	--	-
GRMZM2G012233	4	0.931608223	--	--	--	Uncharacterized protein
GRMZM2G303044	4	0.931441171	--	--	--	Grx_A2-glutaredoxin subgroup III
GRMZM2G180596	4	0.931341005	--	--	--	Uncharacterized protein
GRMZM2G139284	4	0.931200023	--	MYB	ZmMYB70	MYB94
GRMZM5G855337	4	0.93116537	--	--	--	Uncharacterized protein
GRMZM5G846907	4	0.931151671	--	--	--	-
GRMZM2G101350	4	0.931130442	--	bHLH 	ZmbHLH29	Uncharacterized protein
GRMZM2G052034	4	0.930861735	--	--	--	Uncharacterized protein
GRMZM2G021107	4	0.930679013	--	--	--	Uncharacterized protein
GRMZM2G145460	4	0.930578223	--	--	--	Uncharacterized protein
GRMZM2G050216	4	0.930449666	--	--	--	Zinc finger, C3HC4 type family protein
GRMZM2G417107	4	0.93017315	--	--	--	Putative uncharacterized protein
GRMZM5G878608	4	0.930034914	--	--	--	-
AC220927.3_FG007	4	0.929848202	--	--	--	Uncharacterized protein
GRMZM2G076584	4	0.929689251	--	--	--	Uncharacterized protein
GRMZM2G408809	4	0.929572306	--	--	--	Putative uncharacterized protein
GRMZM2G027193	4	0.929524474	--	--	--	Uncharacterized protein
GRMZM2G441906	4	0.929484193	--	--	--	Grx_A2-glutaredoxin subgroup III
GRMZM2G469499	4	0.929451326	--	--	--	Putative ARM repeat-containing protein containing family protein
GRMZM2G455587	4	0.929418633	--	--	--	Uncharacterized protein
GRMZM2G301513	4	0.929298573	--	--	--	Uncharacterized protein
AC187809.3_FG006	4	0.929066113	--	--	--	-
GRMZM2G491341	4	0.928405922	--	--	--	-
GRMZM2G103610	4	0.928385548	--	--	--	-
GRMZM2G351775	4	0.928229274	--	--	--	Uncharacterized protein
GRMZM5G835413	4	0.928135792	--	--	--	-
GRMZM2G142870	4	0.927472481	--	--	--	Uncharacterized protein
GRMZM2G085705	4	0.927303991	--	--	--	-
GRMZM2G005052	4	0.927114312	--	--	--	Uncharacterized protein
GRMZM2G140559	4	0.927023339	--	--	--	Uncharacterized protein
GRMZM2G057717	4	0.926841036	--	--	--	-
GRMZM2G064212	4	0.926741302	ATG4A	--	--	Autophagy-related 4 variant 1; Cysteine protease ATG4B; Uncharacterized protein
GRMZM2G511109	4	0.926351868	--	--	--	-
GRMZM5G894420	4	0.925892089	--	--	--	Uncharacterized protein
GRMZM2G158502	4	0.925524312	--	--	--	Uncharacterized protein
GRMZM2G134073	4	0.925470017	--	NAC	ZmNAC9	NAC domain-containing protein 68; Putative NAC domain transcription factor superfamily protein; Uncharacterized protein
GRMZM2G157466	4	0.925428333	--	--	--	-
AC194145.3_FG003	4	0.92503177	--	--	--	-
GRMZM2G083504	4	0.924442391	--	bHLH 	ZmbHLH121	Uncharacterized protein
GRMZM2G379624	4	0.924365681	--	--	--	-
GRMZM5G803873	4	0.924156372	--	--	--	-
GRMZM2G020098	4	0.923955736	--	--	--	Uncharacterized protein
GRMZM2G095037	4	0.92343355	--	--	--	Uncharacterized protein
GRMZM2G070873	4	0.9233844	--	--	--	Putative uncharacterized protein
GRMZM2G392345	4	0.923247741	--	--	--	Putative uncharacterized protein
GRMZM2G006121	4	0.923230088	--	--	--	Uncharacterized protein
GRMZM2G169617	4	0.92291166	--	--	--	Uncharacterized protein
GRMZM2G381739	4	0.922895851	--	--	--	Uncharacterized protein
GRMZM5G828479	4	0.922714	--	--	--	-
GRMZM2G421899	4	0.922353771	--	ARID 	ZmARID5	Uncharacterized protein
GRMZM2G026889	4	0.922029782	--	--	--	Transferase; Uncharacterized protein
GRMZM2G153977	4	0.921413316	--	--	--	Uncharacterized protein
AC205419.3_FG001	4	0.921290523	--	--	--	Putative DUF869 domain containing family protein
GRMZM2G075956	4	0.920988831	--	C2H2	--	Nucleic acid binding protein isoform 1; Nucleic acid binding protein isoform 2; Uncharacterized protein
GRMZM2G086587	4	0.920432495	--	--	--	Uncharacterized protein
GRMZM2G151418	4	0.920372577	--	--	--	Uncharacterized protein
GRMZM2G050550	4	0.920311164	--	MYB	ZmMYB153	Sucrose responsive element binding protein
GRMZM2G140669	4	0.920308371	--	C2C2-GATA	ZmGATA3	GATA zinc finger family protein
GRMZM2G145632	4	0.920273691	--	--	--	Uncharacterized protein
GRMZM2G316054	4	0.919498206	--	--	--	-
GRMZM5G884935	4	0.919312067	--	--	--	Uncharacterized protein
GRMZM2G030762	4	0.918914589	--	bHLH 	ZmbHLH55	Putative HLH DNA-binding domain superfamily protein; Uncharacterized protein
GRMZM2G391661	4	0.918913641	--	--	--	-
GRMZM6G636055	4	0.918545472	--	--	--	Uncharacterized protein
GRMZM2G006948	4	0.918413096	--	--	--	Uncharacterized protein
GRMZM2G064791	4	0.918267649	--	--	--	-
GRMZM2G371795	4	0.918181972	--	--	--	Uncharacterized protein
AC211394.4_FG004	4	0.918044553	--	--	--	Uncharacterized protein
GRMZM2G147687	4	0.917937976	EXG1	--	--	Uncharacterized protein
GRMZM2G180406	4	0.917916404	--	bHLH 	ZmbHLH32	Uncharacterized protein
GRMZM2G125034	4	0.917648314	--	--	--	Uncharacterized protein
GRMZM2G057958	4	0.917228574	--	--	--	Uncharacterized protein
GRMZM2G167018	4	0.917101536	--	NAC	ZmNAC110	Putative NAC domain transcription factor superfamily protein; Uncharacterized protein
GRMZM5G868048	4	0.916937259	--	--	--	-
GRMZM2G460396	4	0.916420034	--	Orphans	ZmOrphan225	-
GRMZM2G111304	4	0.916355841	--	--	--	Uncharacterized protein
GRMZM2G572820	4	0.916086257	--	--	--	-
GRMZM2G579772	4	0.915574727	--	--	--	-
GRMZM2G078468	4	0.915555663	--	--	--	Uncharacterized protein
GRMZM2G058518	4	0.91522414	--	NAC	ZmNAC82	ANAC010; Uncharacterized protein
GRMZM2G092590	4	0.91492218	--	--	--	Putative uncharacterized protein
GRMZM2G048806	4	0.914911271	--	--	--	Putative paramyosin
GRMZM5G863596	4	0.914850948	--	--	--	-
GRMZM5G843525	4	0.914758348	--	--	--	-
GRMZM2G457621	4	0.914532189	--	--	--	Uncharacterized protein
GRMZM2G057567	4	0.914105455	--	--	--	Uncharacterized protein
GRMZM2G029827	4	0.913954764	--	--	--	-
AC232238.2_FG004	4	0.913908785	--	bZIP 	ZmbZIP90	Liguleless2-like protein; Putative bZIP transcription factor superfamily protein
GRMZM5G886315	4	0.913897833	--	--	--	-
GRMZM2G101004	4	0.91360608	HO-1	--	--	Heme oxygenase 1; Uncharacterized protein
GRMZM2G462118	4	0.913528799	--	--	--	-
GRMZM2G031660	4	0.913286357	--	--	--	Beta-glucosidase; Uncharacterized protein
GRMZM2G323387	4	0.913073936	--	--	--	Uncharacterized protein
AC212279.4_FG004	4	0.912560344	--	--	--	-
GRMZM2G350701	4	0.912301961	--	--	--	-
GRMZM2G465833	4	0.912256907	--	--	--	Putative ACT-domain containing protein kinase family protein; Uncharacterized protein
AC208529.2_FG003	4	0.91200991	--	--	--	-
AC193439.3_FG008	4	0.911969859	--	--	--	-
GRMZM2G451930	4	0.911493539	--	--	--	-
GRMZM2G138821	4	0.911206357	--	--	--	-
GRMZM2G116506	4	0.911126696	--	--	--	Uncharacterized protein
GRMZM2G004377	4	0.911125494	--	--	--	Uncharacterized protein
GRMZM2G094925	4	0.911099989	--	--	--	-
GRMZM5G836222	4	0.910990523	ZNF1	--	--	Zinc finger protein1
GRMZM2G417008	4	0.910955269	--	--	--	Uncharacterized protein
GRMZM2G385459	4	0.910839899	--	--	--	-
GRMZM2G176117	4	0.910789914	--	--	--	Uncharacterized protein
GRMZM2G372475	4	0.910660605	--	--	--	Lipid binding protein
GRMZM2G007957	4	0.910589818	--	--	--	Dehydrodolichyl diphosphate synthase 6 isoform 1; Dehydrodolichyl diphosphate synthase 6 isoform 2; Uncharacterized protein
GRMZM2G032055	4	0.910403512	--	--	--	-
GRMZM2G138423	4	0.91033642	--	--	--	ADP,ATP carrier protein
GRMZM2G172068	4	0.909807184	--	--	--	-
GRMZM2G342687	4	0.909639633	--	--	--	Putative uncharacterized protein
GRMZM2G014914	4	0.909397489	PIP2-1	--	--	Aquaporin PIP2-1
GRMZM2G375249	4	0.909309772	--	--	--	Uncharacterized protein
GRMZM2G123534	4	0.909254464	--	--	--	-
GRMZM2G175995	4	0.909121654	ZAR5	--	--	Auxin regulated gene involved in organ size 5; Uncharacterized protein
GRMZM2G056056	4	0.90853655	--	--	--	-
GRMZM2G351344	4	0.908525472	--	--	--	-
GRMZM2G494505	4	0.9083311	--	--	--	-
GRMZM2G143512	4	0.90816036	--	--	--	-
GRMZM2G069317	4	0.907193321	--	--	--	Uncharacterized protein
GRMZM2G107956	4	0.907048757	--	--	--	-
GRMZM2G103311	4	0.906698421	--	--	--	-
GRMZM2G061184	4	0.906676208	--	--	--	-
GRMZM2G361842	4	0.905951006	--	CCAAT-HAP2	ZmCA2P8	Nuclear transcription factor Y subunit A-7
GRMZM2G007151	4	0.905876922	--	--	--	Uncharacterized protein
GRMZM2G045185	4	0.905551837	--	--	--	Cysteine-type peptidase; Uncharacterized protein
GRMZM2G421275	4	0.905525771	--	--	--	-
GRMZM2G064584	4	0.905421252	--	--	--	Uncharacterized protein
GRMZM2G312578	4	0.904999519	--	--	--	-
GRMZM2G041463	4	0.904992102	--	--	--	CBL-interacting serine/threonine-protein kinase 15; Putative CBL-interacting protein kinase family protein
GRMZM2G173863	4	0.904244079	--	--	--	Uncharacterized protein
GRMZM2G109805	4	0.903504661	--	--	--	Uncharacterized protein
GRMZM2G012046	4	0.903048714	--	--	--	Uncharacterized protein
GRMZM2G037130	4	0.902899211	--	--	--	Putative uncharacterized protein
GRMZM2G162065	4	0.902824166	--	--	--	Uncharacterized protein
GRMZM2G306643	4	0.902732234	--	--	--	Uncharacterized protein
GRMZM2G063657	4	0.902533206	--	--	--	Uncharacterized protein
GRMZM2G476843	4	0.902456024	--	--	--	Uncharacterized protein
GRMZM2G454018	4	0.901662818	--	--	--	Putative uncharacterized protein
GRMZM2G139175	4	0.901446011	--	--	--	Uncharacterized protein
GRMZM5G828566	4	0.901323532	--	--	--	Uncharacterized protein
GRMZM2G159307	4	0.901110339	--	--	--	-
GRMZM2G020054	4	0.901093895	--	AP2-EREBP	ZmEREB54	Putative AP2/EREBP transcription factor superfamily protein
GRMZM2G004795	4	0.900816552	--	--	--	CCCH transcription factor; CCCH transcription factor isoform 1; CCCH transcription factor isoform 2
GRMZM2G011590	4	0.900707731	--	--	--	POT family; POT family protein; Uncharacterized protein
GRMZM2G122787	4	0.900673562	--	--	--	Uncharacterized protein
GRMZM2G399877	4	0.900577681	--	--	--	-
GRMZM2G130505	4	0.900310197	--	--	--	BTB/POZ domain containing protein; Uncharacterized protein
GRMZM5G849147	4	0.900017501	--	--	--	-
GRMZM2G031724	4	0.899917596	--	--	--	Uncharacterized protein
GRMZM2G177404	4	0.899896192	--	--	--	-
GRMZM2G022710	4	0.89977542	--	--	--	-
GRMZM2G349603	4	0.899341081	--	--	--	Uncharacterized protein
GRMZM5G820460	4	0.899049919	--	--	--	F-box domain containing protein
GRMZM2G181348	4	0.89858704	--	--	--	-
GRMZM2G180967	4	0.89848123	--	--	--	Uncharacterized protein
GRMZM2G583958	4	0.898038489	--	--	--	-
AC204596.3_FG003	4	0.897715622	--	--	--	-
GRMZM2G142933	4	0.897009816	--	--	--	-
GRMZM2G322348	4	0.896862978	--	--	--	Putative leucine-rich repeat receptor-like protein kinase family protein
GRMZM2G424112	4	0.896577097	--	--	--	Uncharacterized protein
GRMZM2G134903	4	0.896521116	--	--	--	Exonuclease; Uncharacterized protein
GRMZM2G032218	4	0.896343528	--	--	--	-
GRMZM2G054872	4	0.895995508	--	--	--	-
GRMZM2G167520	4	0.89594114	BK2L6	--	--	Brittle stalk-2-like protein 6; Uncharacterized protein
GRMZM2G181415	4	0.895270451	--	--	--	Uncharacterized protein
GRMZM2G163328	4	0.895138339	--	--	--	Uncharacterized protein
GRMZM2G106604	4	0.894121604	--	--	--	Putative uncharacterized protein
GRMZM2G509537	4	0.89370751	--	--	--	-
GRMZM2G328341	4	0.893656157	--	--	--	Uncharacterized protein
GRMZM2G153830	4	0.893502325	--	--	--	-
GRMZM5G801953	4	0.893215466	--	--	--	Uncharacterized protein
GRMZM5G858006	4	0.892422706	--	--	--	Uncharacterized protein
GRMZM2G533010	4	0.892222805	--	--	--	-
GRMZM2G516291	4	0.89186971	--	--	--	-
GRMZM2G579782	4	0.89165161	--	--	--	-
AC198028.3_FG001	4	0.891614135	--	--	--	-
GRMZM2G000453	4	0.890912648	--	--	--	Putative uncharacterized protein
GRMZM2G122231	4	0.890468929	--	--	--	Trehalose-6-phosphate synthase
GRMZM2G000741	4	0.890188279	--	--	--	Uncharacterized protein
GRMZM2G181566	4	0.889611626	--	--	--	Uncharacterized protein
GRMZM2G087552	4	0.889437801	--	--	--	-
GRMZM2G083797	4	0.889436336	--	--	--	-
GRMZM2G551009	4	0.889131408	--	--	--	-
GRMZM2G093962	4	0.889058048	--	--	--	Membrane protein
AC208113.3_FG005	4	0.888830485	--	--	--	Putative uncharacterized protein
GRMZM2G308358	4	0.888756404	--	--	--	-
GRMZM2G181000	4	0.888747725	--	--	--	Uncharacterized protein
GRMZM2G017474	4	0.888655549	--	--	--	Uncharacterized protein
GRMZM2G411653	4	0.887964792	--	--	--	-
GRMZM2G030099	4	0.887789268	--	--	--	Hemolysin-III family protein; Uncharacterized protein
GRMZM2G502376	4	0.887598113	--	--	--	-
AC203535.4_FG002	4	0.887445631	--	NAC	ZmNAC90	NAC domain-containing protein 68
GRMZM2G123373	4	0.887195397	--	--	--	Uncharacterized protein
GRMZM2G352607	4	0.886892206	--	--	--	Lipid binding protein; Putative lipid-binding serum glycoprotein domain family protein; Uncharacterized protein
GRMZM5G829751	4	0.886776783	--	--	--	-
GRMZM2G104390	4	0.886581121	--	C2C2-GATA	ZmGATA2	GATA transcription factor 22; Uncharacterized protein
GRMZM2G078650	4	0.884090065	--	--	--	Phospholipase C
GRMZM5G816632	4	0.884029646	--	--	--	-
GRMZM2G057778	4	0.883573146	--	--	--	-
GRMZM2G408967	4	0.883372189	--	--	--	Putative uncharacterized protein
GRMZM5G875082	4	0.883140219	--	--	--	Uncharacterized protein
GRMZM5G873804	4	0.882999695	--	--	--	Uncharacterized protein
GRMZM2G081771	4	0.882998106	--	--	--	-
GRMZM2G135022	4	0.882788353	--	--	--	Uncharacterized protein
GRMZM2G042933	4	0.882762387	--	--	--	Uncharacterized protein
GRMZM2G115809	4	0.881225426	--	--	--	-
GRMZM5G865941	4	0.880089978	--	--	--	-
AC200057.4_FG007	4	0.879864071	--	bZIP 	ZmbZIP47	-
GRMZM5G847270	4	0.879450443	--	--	--	Uncharacterized protein
GRMZM2G107562	4	0.879180404	--	--	--	Copper ion binding protein; Uncharacterized protein
GRMZM2G539528	4	0.879138843	--	--	--	-
AC208077.3_FG004	4	0.878072885	--	--	--	-
GRMZM2G002227	4	0.877382516	--	--	--	Uncharacterized protein
